z,residual
1.472000000000000045e-02,3.048687049134062854e-01
1.482999999999999943e-02,1.269235874083110005e-01
1.482999999999999943e-02,-8.097654625734541922e-02
1.493000000000000056e-02,9.213233355970034122e-01
1.494999999999999975e-02,8.124686068277615636e-01
1.502999999999999996e-02,-5.607504674583964066e-01
1.502999999999999996e-02,-6.501105392935924154e-01
1.503999999999999955e-02,5.395820170933932625e-01
1.506000000000000047e-02,7.359009233926975257e-01
1.506000000000000047e-02,4.533067386882368432e-01
1.508999999999999925e-02,9.537650018968105714e-01
1.508999999999999925e-02,4.914866736830188487e-01
1.508999999999999925e-02,6.771180602871889054e-01
1.508999999999999925e-02,-3.231520495002070947e-01
1.518000000000000078e-02,9.292774669177576996e-01
1.521999999999999915e-02,9.159659515828304233e-02
1.527000000000000059e-02,5.459920193502449948e-01
1.528999999999999977e-02,-7.986381760020457854e-01
1.533999999999999947e-02,8.769341681479987383e-01
1.533999999999999947e-02,7.443266193297075617e-01
1.533999999999999947e-02,-6.884215221765752069e-02
1.533999999999999947e-02,-4.265601627835440834e-01
1.537999999999999957e-02,2.961130073684943229e-02
1.538999999999999917e-02,1.095900716199629255e+00
1.555999999999999918e-02,-2.415011569245526513e-01
1.555999999999999918e-02,-6.848980809489058075e-01
1.566000000000000031e-02,3.156490267682941775e-02
1.569999999999999868e-02,4.159891954390769753e-01
1.572000000000000133e-02,-1.755791379862584045e-01
1.578999999999999848e-02,1.142912626490794503e+00
1.578999999999999848e-02,3.444979573645625126e-01
1.578999999999999848e-02,2.371504521301362467e-01
1.581000000000000114e-02,7.402947843255317517e-01
1.592000000000000012e-02,-1.068353890322281119e+00
1.592000000000000012e-02,-1.010482509644361704e+00
1.594999999999999890e-02,-3.133154569116086696e-01
1.600999999999999993e-02,-5.123841388057440716e-01
1.609999999999999973e-02,-9.828336507444210834e-01
1.609999999999999973e-02,-8.612143328615575744e-01
1.611999999999999891e-02,-3.743805927430994274e-01
1.618999999999999953e-02,-4.843573106304253639e-01
1.618999999999999953e-02,7.971384704068575910e-01
1.628999999999999893e-02,-6.935085483375078574e-01
1.628999999999999893e-02,-2.804174831625662057e-01
1.629999999999999852e-02,-1.035022699727778051e+00
1.632000000000000117e-02,5.163974203634699028e-02
1.633000000000000076e-02,9.306068966420492083e-01
1.635999999999999954e-02,-1.930256729600749732e-01
1.645999999999999894e-02,8.119761124679465425e-01
1.645999999999999894e-02,1.054253318616072521e+00
1.645999999999999894e-02,-1.191795844781677438e+00
1.649000000000000118e-02,-1.215101401719995144e-01
1.649000000000000118e-02,-1.020848948619549890e-01
1.658000000000000099e-02,-5.434219575035680316e-01
1.658000000000000099e-02,3.192255298846735645e-02
1.660999999999999976e-02,1.590608916833232203e-02
1.670999999999999916e-02,9.097733840031462238e-01
1.672999999999999834e-02,-4.506636236249610405e-01
1.677999999999999978e-02,5.456732015238074940e-01
1.679999999999999896e-02,8.209622688386363221e-01
1.679999999999999896e-02,1.259327765113104958e+00
1.694000000000000020e-02,5.622655881819592638e-01
1.696999999999999897e-02,1.671267462751574895e+00
1.709000000000000102e-02,2.028892271701245309e-01
1.709000000000000102e-02,3.952701169962437311e-02
1.718000000000000083e-02,-5.253636986861407454e-01
1.734000000000000125e-02,2.281305572181766550e-01
1.734000000000000125e-02,-1.970985436311032957e-01
1.738999999999999921e-02,-3.647937182532486489e-03
1.738999999999999921e-02,-2.378049473015201587e-01
1.747999999999999901e-02,-2.623317425570514394e-01
1.764999999999999902e-02,-9.389822607418692180e-02
1.773999999999999883e-02,-7.908051711258465288e-02
1.773999999999999883e-02,-1.280717916648660137e-01
1.790999999999999884e-02,-3.992960744436120368e-01
1.790999999999999884e-02,-5.671335750745497561e-01
1.796000000000000027e-02,3.241325818601378805e-01
1.805000000000000007e-02,1.146802713169171151e+00
1.822000000000000008e-02,6.923732011922810736e-01
